0,0,0,
0,0,0,
0.00197763,0.00140902,0.00385955,
0.00671804,0.00478659,0.0131206,
0.014298,0.0101875,0.0279391,
0.0247172,0.0176114,0.0483181,
0.0379758,0.0270586,0.0742611,
0.0540736,0.0385288,0.105771,
0.0730108,0.0520221,0.142852,
0.0947872,0.0675386,0.185507,
0.119403,0.0850782,0.233739,
0.146858,0.104641,0.287552,
0.177152,0.126227,0.346948,
0.210286,0.149836,0.411932,
0.246259,0.175468,0.482507,
0.285071,0.203123,0.558675,
0.326723,0.232801,0.640441,
0.371214,0.264503,0.727808,
0.418544,0.298227,0.820778,
0.468713,0.333975,0.919356,
0.521722,0.371746,1.02354,
0.57757,0.41154,1.13335,
0.636257,0.453357,1.24877,
0.697784,0.497197,1.36981,
0.76215,0.543061,1.49647,
0.829355,0.590947,1.62877,
0.8994,0.640857,1.76669,
0.972284,0.692789,1.91025,
1.04801,0.746745,2.05944,
1.12657,0.802724,2.21428,
1.20797,0.860726,2.37476,
1.29221,0.920751,2.54088,
1.37929,0.982799,2.71266,
1.46921,1.04687,2.89009,
1.56197,1.11297,3.07319,
1.65757,1.18108,3.26194,
1.75601,1.25122,3.45635,
1.85728,1.32339,3.65644,
1.9614,1.39757,3.86219,
2.06835,1.47378,4.07362,
2.17815,1.55202,4.29073,
2.29078,1.63227,4.51351,
2.40626,1.71455,4.74199,
2.52457,1.79886,4.97615,
2.64572,1.88518,5.216,
2.76971,1.97353,5.46154,
2.89654,2.0639,5.71279,
3.02621,2.1563,5.96973,
3.15872,2.25072,6.23238,
3.29407,2.34716,6.50074,
3.43226,2.44562,6.77481,
3.57328,2.54611,7.05459,
3.71715,2.64862,7.3401,
3.86386,2.75315,7.63132,
4.0134,2.85971,7.92827,
4.16578,2.96829,8.23095,
4.32101,3.07889,8.53936,
4.47907,3.19152,8.8535,
4.63997,3.30617,9.17338,
4.80371,3.42284,9.49901,
4.97029,3.54154,9.83038,
5.13971,3.66226,10.1675,
5.31197,3.785,10.5104,
5.48707,3.90976,10.859,
5.66501,4.03655,11.2134,
5.84579,4.16536,11.5735,
6.0294,4.2962,11.9394,
6.21586,4.42905,12.3111,
6.40515,4.56394,12.6886,
6.59729,4.70084,13.0718,
6.79226,4.83977,13.4608,
6.99007,4.98072,13.8556,
7.19073,5.12369,14.2562,
7.39422,5.26868,14.6625,
7.60055,5.4157,15.0747,
7.80972,5.56475,15.4926,
8.02173,5.71581,15.9164,
8.23657,5.8689,16.3459,
8.45426,6.02401,16.7813,
8.67479,6.18115,17.2225,
8.89816,6.3403,17.6695,
9.12436,6.50149,18.1223,
9.35341,6.66469,18.5809,
9.58529,6.82992,19.0453,
9.82001,6.99717,19.5156,
10.0576,7.16644,19.9917,
10.298,7.33774,20.4736,
10.5412,7.51106,20.9614,
10.7873,7.6864,21.455,
11.0362,7.86377,21.9544,
11.288,8.04315,22.4597,
11.5426,8.22457,22.9709,
11.8,8.408,23.4879,
12.0603,8.59346,24.0108,
12.3234,8.78094,24.5395,
12.5894,8.97045,25.0741,
12.8582,9.16197,25.6145,
13.1298,9.35553,26.1608,
13.4043,9.5511,26.713,
13.6816,9.7487,27.2711,
13.9617,9.94832,27.8351,
14.2447,10.15,28.4049,
14.5306,10.3536,28.9806,
14.8192,10.5593,29.5622,
15.1107,10.767,30.1498,
15.4051,10.9768,30.7432,
15.7023,11.1885,31.3425,
16.0023,11.4023,31.9477,
16.3052,11.6181,32.5588,
16.6109,11.8359,33.1759,
16.9194,12.0558,33.7988,
17.2308,12.2777,34.4277,
17.545,12.5016,35.0625,
17.8621,12.7275,35.7032,
18.182,12.9554,36.3498,
18.5047,13.1854,37.0024,
18.8303,13.4174,37.6609,
19.1587,13.6514,38.3254,
19.49,13.8874,38.9958,
19.8241,14.1255,39.6721,
20.161,14.3656,40.3544,
20.5008,14.6077,41.0426,
20.8434,14.8518,41.7368,
21.1889,15.098,42.437,
21.5372,15.3461,43.1431,
21.8883,15.5963,43.8552,
22.2423,15.8485,44.5732,
22.5991,16.1028,45.2973,
22.9587,16.3591,46.0273,
23.3212,16.6174,46.7633,
23.6866,16.8777,47.5052,
24.0547,17.14,48.2532,
24.4257,17.4044,49.0071,
24.7996,17.6707,49.7671,
25.1763,17.9391,50.533,
25.5558,18.2096,51.305,
25.9382,18.482,52.0829,
26.3234,18.7565,52.8669,
26.7114,19.033,53.6568,
27.1023,19.3115,54.4528,
27.496,19.5921,55.2548,
27.8926,19.8746,56.0628,
28.292,20.1592,56.8768,
28.6942,20.4458,57.6969,
29.0993,20.7345,58.523,
29.5072,21.0251,59.3551,
29.918,21.3178,60.1933,
30.3316,21.6125,61.0375,
30.748,21.9093,61.8878,
31.1673,22.208,62.7441,
31.5894,22.5088,63.6065,
32.0144,22.8116,64.4749,
32.4422,23.1164,65.3494,
32.8728,23.4232,66.2299,
33.3063,23.7321,67.1165,
33.7426,24.043,68.0092,
34.1817,24.3559,68.9079,
34.6237,24.6709,69.8128,
35.0685,24.9878,70.7237,
35.5162,25.3068,71.6406,
35.9667,25.6278,72.5637,
36.4201,25.9508,73.4929,
36.8763,26.2759,74.4281,
37.3353,26.603,75.3695,
37.7971,26.9321,76.317,
38.2618,27.2632,77.2705,
38.7294,27.5963,78.2302,
39.1998,27.9315,79.196,
39.673,28.2687,80.1679,
40.1491,28.6079,81.1459,
40.628,28.9491,82.13,
41.1097,29.2924,83.1203,
41.5943,29.6377,84.1167,
42.0817,29.985,85.1192,
42.572,30.3343,86.1278,
43.0651,30.6857,87.1426,
43.561,31.039,88.1636,
